school,dist.n,schoolyr,did_absence_rate_all,did_absence_rate_ill
Manzanita Community School,1,2014-15,0.014803571496195642,0.013629074155991208
Manzanita Community School,1,2015-16,-0.012091269632227335,-0.015799349292474722
Manzanita Community School,1,2016-17,0.004839406977362515,0.0029987919508656542
Manzanita SEED Elementary,1,2014-15,0.024653066248192253,0.02528977222967807
Manzanita SEED Elementary,1,2015-16,6.723212894320929e-4,-5.18711458402904e-4
Manzanita SEED Elementary,1,2016-17,0.02479064836751973,0.02194474682148371
Markham Elementary,1,2014-15,-0.011654481675269002,-0.016293833488844535
Markham Elementary,1,2015-16,-0.02699264339841806,-0.027482161623983627
Markham Elementary,1,2016-17,0.03039532431401583,-0.013795164697096449
Martin Luther King Jr Elementary,1,2014-15,0.047680369413830165,0.05476601303869543
Martin Luther King Jr Elementary,1,2015-16,-0.018550609395717996,-3.092326011481794e-4
Martin Luther King Jr Elementary,1,2016-17,0.03583998040638885,0.03847074586261425
Montalvin Elementary,0,2014-15,0.015265354253733175,0.05869717965637755
Montalvin Elementary,0,2015-16,-0.0074609101650778345,0.040318741324523066
Montalvin Elementary,0,2016-17,0.013381871391989437,0.05745781917788663
Montclair Elementary,1,2014-15,0.013700706636820555,0.005202396405322097
Montclair Elementary,1,2015-16,-0.011805077732577402,-0.011576728646174938
Montclair Elementary,1,2016-17,0.007134340282062272,0.002864326003669874
Murphy Elementary,0,2014-15,0.0015509648260312175,0.012518171402654585
Murphy Elementary,0,2015-16,-0.03190339869085576,-0.0180670544586945
Murphy Elementary,0,2016-17,0.004540581044509023,-9.668321897041143e-5
New Highland Academy,1,2014-15,0.0012715041061986745,0.004979457756778039
New Highland Academy,1,2015-16,0.0037455781802727475,0.008194272571592852
New Highland Academy,1,2016-17,0.0036667759738109665,0.008627684707132648
Nystrom Elementary,0,2014-15,-0.0047349900591985294,0.005166985382224373
Nystrom Elementary,0,2015-16,-0.010383802206147763,-0.004649661920901837
Nystrom Elementary,0,2016-17,0.019435749406951447,0.03154330241472001
Ohlone Elementary,0,2014-15,0.016344268167550073,0.007428674644663423
Ohlone Elementary,0,2015-16,-0.00303500846979108,1.1763598720120061e-5
Ohlone Elementary,0,2016-17,0.022024243265438316,0.012630267069178892
Olinda Elementary,0,2014-15,0.00135977060978483,-0.00478112891827568
Olinda Elementary,0,2015-16,-0.001408778670392359,-0.011674816625916871
Olinda Elementary,0,2016-17,-0.00926676285346488,-0.01052640673192394
Parker Elementary,1,2014-15,0.010570103026222341,0.009060527521313914
Parker Elementary,1,2015-16,-0.017798371435385506,-0.02033775112716205
Parker Elementary,1,2016-17,0.03465744342644439,-0.014609143894795416
Peralta Elementary,1,2014-15,0.02286342671430963,0.021655034933682767
Peralta Elementary,1,2015-16,-0.0044339091068063,-0.0013186443092985112
Peralta Elementary,1,2016-17,-4.6033255258458305e-4,0.0020345848503822567
Peres Elementary,0,2014-15,0.01371853046833725,0.020210759520813616
Peres Elementary,0,2015-16,-0.00441650747647112,0.009228872526775837
Peres Elementary,0,2016-17,0.015076937055630013,0.025914998977807052
Piedmont Avenue Elementary,1,2014-15,0.018182166729899522,0.0012520679435699608
Piedmont Avenue Elementary,1,2015-16,-0.01451395809399618,-0.02337118154550716
Piedmont Avenue Elementary,1,2016-17,0.02588196911247189,0.017209127661903308
PLACE @ Prescott,1,2014-15,0.04180327165981141,0.03489513214597751
PLACE @ Prescott,1,2015-16,0.025009366209256985,0.0013382566785834493
PLACE @ Prescott,1,2016-17,0.048660137471870944,-0.0075956955454481445
Reach Academy,1,2014-15,0.0040480579288978,0.002222168851208954
Reach Academy,1,2015-16,-0.022158113602093417,-0.016430296917561135
Reach Academy,1,2016-17,-0.0036887630504974372,-5.675020077688317e-4
Redwood Heights Elementary,1,2014-15,0.05592098840160893,0.043338369391182095
Redwood Heights Elementary,1,2015-16,0.008087799549107814,0.006861975953822565
Redwood Heights Elementary,1,2016-17,0.01902701551625674,0.010115250715477218
RISE Community School,1,2014-15,-0.016153036557088593,-0.007875753040942408
RISE Community School,1,2015-16,-0.02988483529004822,-0.01781085315482125
RISE Community School,1,2016-17,-0.006478862731533294,0.0033352323980439594
Riverside Elementary,0,2014-15,0.0010598976204095056,0.010551602223073567
Riverside Elementary,0,2015-16,-0.02572783193740316,-0.019950090605489072
Riverside Elementary,0,2016-17,0.008311203767188843,0.014645364276441496
Sequoia Elementary,1,2014-15,-0.009626772710528461,-0.01135473360347413
Sequoia Elementary,1,2015-16,-0.025798362281275862,-0.021292942467194827
Sequoia Elementary,1,2016-17,-0.02468932208653387,-0.02690110536714529
Shannon Elementary,0,2014-15,0.009302533565362564,0.029030234600426544
Shannon Elementary,0,2015-16,-0.004778874575451522,-0.0035330217252060175
Shannon Elementary,0,2016-17,0.04559693223599885,0.0350908406610326
Sheldon Elementary,0,2014-15,0.006346454797159021,0.005436378957505719
Sheldon Elementary,0,2015-16,-0.012456964006259778,-0.004820031298904539
Sheldon Elementary,0,2016-17,0.0052937135005152874,0.0010065269666781167
Stege Elementary,0,2014-15,8.344755079236627e-4,-0.019527607598350864
Stege Elementary,0,2015-16,-0.01960340477706255,-0.025261135082879443
Stege Elementary,0,2016-17,0.005280082922778165,-0.021783464149011233
Tara Hills Elementary,0,2014-15,0.017694825044053654,0.011692019994965296
Tara Hills Elementary,0,2015-16,0.00109067613811447,-0.005049952156214017
Tara Hills Elementary,0,2016-17,0.0508979070473558,0.03201673105715572
Think College Now,1,2014-15,0.01993835911479999,0.01854241650539257
Think College Now,1,2015-16,0.00215339198100218,-0.006794029426482651
Think College Now,1,2016-17,0.025435889140238574,0.001855594042584511
Thornhill Elementary,1,2014-15,0.018532370389476402,-0.0015273223036957884
Thornhill Elementary,1,2015-16,0.029518168217379487,0.025498575774833866
Thornhill Elementary,1,2016-17,0.018892082619692226,0.011908522427112968
Valley View Elementary,0,2014-15,0.05389023450679048,0.008657162855574635
Valley View Elementary,0,2015-16,0.014136480192827233,-0.007566448125988029
Valley View Elementary,0,2016-17,0.043855023239184845,0.018868430461208438
Verde Elementary,0,2014-15,-0.0012328349099786362,0.017815074763503205
Verde Elementary,0,2015-16,-0.025385234234791755,-0.014833426160859791
Verde Elementary,0,2016-17,-0.007442085233622275,-0.017498565344770303
Washington Elementary,0,2014-15,0.010685644265773231,0.018584663485547173
Washington Elementary,0,2015-16,-0.015179848266385965,-4.892666994941244e-4
Washington Elementary,0,2016-17,0.021886723887905482,0.025651281078480553
Wilson Elementary,0,2014-15,0.0010505142307255383,0.008806410007952365
Wilson Elementary,0,2015-16,-0.006058891393255814,0.008637236687822802
Wilson Elementary,0,2016-17,0.013365164529546412,0.014857128793285917
