school,dist.n,schoolyr,absences_all,absences_ill,student_days,absence_rate_all,absence_rate_ill
King Elementary,0,2015-16,14,10,308,0.045454545454545456,0.032467532467532464
King Elementary,0,2016-17,19,9,292,0.06506849315068493,0.030821917808219176
La Escuelita Elementary,1,2011-12,9,5,341,0.026392961876832845,0.01466275659824047
La Escuelita Elementary,1,2012-13,15,9,384,0.0390625,0.0234375
La Escuelita Elementary,1,2013-14,9,8,253,0.03557312252964427,0.03162055335968379
La Escuelita Elementary,1,2014-15,14,10,362,0.03867403314917127,0.027624309392265192
La Escuelita Elementary,1,2015-16,15,8,197,0.07614213197969544,0.04060913705583756
La Escuelita Elementary,1,2016-17,9,5,210,0.04285714285714286,0.023809523809523808
Lafayette Elementary,1,2011-12,27,11,412,0.06553398058252427,0.02669902912621359
Lafayette Elementary,1,2012-13,30,6,366,0.08196721311475409,0.01639344262295082
Lafayette Elementary,1,2013-14,27,14,254,0.1062992125984252,0.05511811023622047
Lafayette Elementary,1,2014-15,26,18,325,0.08,0.055384615384615386
Lafayette Elementary,1,2015-16,9,7,133,0.06766917293233082,0.05263157894736842
Lafayette Elementary,1,2016-17,9,0,99,0.09090909090909091,0
Lake Elementary,0,2011-12,20,13,529,0.03780718336483932,0.024574669187145556
Lake Elementary,0,2012-13,31,12,523,0.05927342256214149,0.022944550669216062
Lake Elementary,0,2013-14,17,6,373,0.045576407506702415,0.0160857908847185
Lake Elementary,0,2014-15,25,10,547,0.04570383912248629,0.018281535648994516
Lake Elementary,0,2015-16,11,7,263,0.04182509505703422,0.026615969581749048
Lake Elementary,0,2016-17,19,8,261,0.07279693486590039,0.03065134099616858
Lakeview Elementary,1,2011-12,21,10,339,0.061946902654867256,0.029498525073746312
Laurel Elementary,1,2011-12,32,19,697,0.04591104734576758,0.027259684361549498
Laurel Elementary,1,2012-13,38,25,727,0.052269601100412656,0.0343878954607978
Laurel Elementary,1,2013-14,28,21,476,0.058823529411764705,0.04411764705882353
Laurel Elementary,1,2014-15,44,22,654,0.0672782874617737,0.03363914373088685
Laurel Elementary,1,2015-16,14,12,341,0.04105571847507331,0.03519061583577713
Laurel Elementary,1,2016-17,11,10,350,0.03142857142857143,0.02857142857142857
Lazear Elementary,1,2011-12,13,10,294,0.04421768707482993,0.034013605442176874
Learning Without Limits,1,2011-12,30,18,490,0.061224489795918366,0.036734693877551024
Lincoln Elementary,0,2011-12,39,22,596,0.06543624161073826,0.03691275167785235
Lincoln Elementary,0,2012-13,31,9,592,0.052364864864864864,0.015202702702702704
Lincoln Elementary,0,2013-14,24,11,415,0.05783132530120482,0.02650602409638554
Lincoln Elementary,0,2014-15,51,38,566,0.09010600706713781,0.06713780918727916
Lincoln Elementary,0,2015-16,18,12,275,0.06545454545454546,0.04363636363636364
Lincoln Elementary,0,2016-17,23,10,276,0.08333333333333333,0.036231884057971016
Lincoln Elementary,1,2011-12,12,8,855,0.014035087719298246,0.00935672514619883
Lincoln Elementary,1,2012-13,8,8,876,0.0091324200913242,0.0091324200913242
Lincoln Elementary,1,2013-14,11,8,671,0.01639344262295082,0.011922503725782414
Lincoln Elementary,1,2014-15,21,18,895,0.02346368715083799,0.02011173184357542
Lincoln Elementary,1,2015-16,11,9,445,0.024719101123595506,0.020224719101123594
Lincoln Elementary,1,2016-17,8,7,461,0.01735357917570499,0.015184381778741865
Lupine Hills Elementary,0,2011-12,29,14,536,0.054104477611940295,0.026119402985074626
Lupine Hills Elementary,0,2012-13,25,14,507,0.04930966469428008,0.027613412228796843
Lupine Hills Elementary,0,2013-14,22,8,352,0.0625,0.022727272727272728
Lupine Hills Elementary,0,2014-15,24,11,499,0.04809619238476954,0.022044088176352707
Lupine Hills Elementary,0,2015-16,7,2,235,0.029787234042553193,0.00851063829787234
Lupine Hills Elementary,0,2016-17,12,6,238,0.05042016806722689,0.025210084033613446
Madera Elementary,0,2011-12,16,13,609,0.026272577996715927,0.021346469622331693
Madera Elementary,0,2012-13,19,13,684,0.027777777777777776,0.019005847953216373
Madera Elementary,0,2013-14,21,13,492,0.042682926829268296,0.026422764227642278
Madera Elementary,0,2014-15,26,14,583,0.044596912521440824,0.024013722126929673
Madera Elementary,0,2015-16,4,1,316,0.012658227848101266,0.0031645569620253164
Madera Elementary,0,2016-17,11,6,366,0.030054644808743168,0.01639344262295082
Madison Park Academy TK-5,1,2016-17,16,8,178,0.0898876404494382,0.0449438202247191
Madison Park Lower Campus,1,2011-12,15,6,310,0.04838709677419355,0.01935483870967742
Madison Park Lower Campus,1,2012-13,7,3,287,0.024390243902439025,0.010452961672473868
Madison Park Lower Campus,1,2013-14,14,7,246,0.056910569105691054,0.028455284552845527
Madison Park Lower Campus,1,2014-15,23,16,310,0.07419354838709677,0.05161290322580645
Madison Park Lower Campus,1,2015-16,9,2,177,0.05084745762711865,0.011299435028248588
Manzanita Community School,1,2011-12,21,14,436,0.0481651376146789,0.03211009174311927
Manzanita Community School,1,2012-13,25,7,452,0.05530973451327434,0.015486725663716814
Manzanita Community School,1,2013-14,19,3,300,0.06333333333333334,0.01
Manzanita Community School,1,2014-15,17,7,416,0.040865384615384616,0.016826923076923076
Manzanita Community School,1,2015-16,18,6,284,0.06338028169014084,0.02112676056338028
Manzanita Community School,1,2016-17,16,5,316,0.05063291139240506,0.015822784810126583
Manzanita SEED Elementary,1,2011-12,14,7,350,0.04,0.02
Manzanita SEED Elementary,1,2012-13,23,10,449,0.051224944320712694,0.022271714922048998
