school,dist.n,schoolyr,did_absence_rate_all,did_absence_rate_ill
Madera Elementary,0,2014-15,0.002647780773521173,4.080454497309982e-5
Madera Elementary,0,2015-16,0.0016257838016984424,0.0021123744193407706
Madera Elementary,0,2016-17,-3.8126847690384685e-4,3.014761143581568e-4
Madison Park Lower Campus,1,2014-15,0.011740388273370261,0.029714616004064914
Madison Park Lower Campus,1,2015-16,0.014171258847282944,1.7399697999409547e-4
Madison Park Lower Campus,1,2016-17,0.013591513608906078,0.009853261127610924
Manzanita Community School,1,2014-15,0.01003849057431553,-1.1222020218537229e-4
Manzanita Community School,1,2015-16,0.010502320095555233,-0.004042126450825384
Manzanita Community School,1,2016-17,0.016062093447328514,0.002988959988621611
Manzanita SEED Elementary,1,2014-15,0.014328811232251062,0.012303518773376512
Manzanita SEED Elementary,1,2015-16,0.008522354444082732,0.010756852179329233
Manzanita SEED Elementary,1,2016-17,0.013844655686594771,0.017221643334112347
Markham Elementary,1,2014-15,0.0038530607585438997,-0.010355544191148355
Markham Elementary,1,2015-16,0.0011008232702092863,-0.014985285705049423
Markham Elementary,1,2016-17,0.01926618230779613,-0.01082695683492153
Martin Luther King Jr Elementary,1,2014-15,0.018157585941303053,0.018794556839131026
Martin Luther King Jr Elementary,1,2015-16,0.010701197347256816,0.01588390138264554
Martin Luther King Jr Elementary,1,2016-17,0.023760268944987964,0.014909790814224111
Montalvin Elementary,0,2014-15,0.007778162713770326,0.04077647206819253
Montalvin Elementary,0,2015-16,0.005900307833625731,0.04310540826516747
Montalvin Elementary,0,2016-17,0.0067215517352267745,0.040322476910807536
Montclair Elementary,1,2014-15,0.005387282734595898,0.002144488361749356
Montclair Elementary,1,2015-16,0.004628487169612748,0.005316324648737526
Montclair Elementary,1,2016-17,0.001771477584762593,-7.48869486024907e-4
Murphy Elementary,0,2014-15,-0.0010184082151848545,-4.805274287943695e-4
Murphy Elementary,0,2015-16,-0.0039459101164787125,-0.0022489031614823726
Murphy Elementary,0,2016-17,-4.63167412004431e-4,-0.0016690593291132372
New Highland Academy,1,2014-15,0.0026255770489690272,0.002806269028018643
New Highland Academy,1,2015-16,0.0029371549000365496,0.0027651055395369814
New Highland Academy,1,2016-17,0.002435840204601386,0.007843660045086243
Nystrom Elementary,0,2014-15,0.01600787807786473,0.009640981047148858
Nystrom Elementary,0,2015-16,0.013851299639846562,0.005840087091715514
Nystrom Elementary,0,2016-17,0.015345019341879346,0.02120757738439871
Ohlone Elementary,0,2014-15,0.002961718273112479,-0.003160968531770114
Ohlone Elementary,0,2015-16,0.004963924464455809,0.007017786060225691
Ohlone Elementary,0,2016-17,0.009625453736352013,0.005634411943230451
Olinda Elementary,0,2014-15,0.007559186509953665,0.001476236321119484
Olinda Elementary,0,2015-16,0.00433388205485024,0.006159930632326609
Olinda Elementary,0,2016-17,-0.0025184595081803735,0.002812734542197652
Parker Elementary,1,2014-15,-0.0011997937935849384,-0.0011442707570400376
Parker Elementary,1,2015-16,-0.012680409120874786,-0.01858056230604343
Parker Elementary,1,2016-17,3.3986446789208147e-4,-0.01185381660418433
Peralta Elementary,1,2014-15,0.0073099166355573494,0.0074468855122937876
Peralta Elementary,1,2015-16,0.008053966116486344,0.008318759488397758
Peralta Elementary,1,2016-17,0.005510907114257578,0.005434711136652979
Peres Elementary,0,2014-15,0.011008371272069557,0.008421597546235761
Peres Elementary,0,2015-16,0.01316484556351586,0.01180104637171292
Peres Elementary,0,2016-17,0.018570180184377928,0.015674979549996373
Piedmont Avenue Elementary,1,2014-15,0.008813199772034569,-0.0019025868938992926
Piedmont Avenue Elementary,1,2015-16,0.006551387649980471,0.006552247270021835
Piedmont Avenue Elementary,1,2016-17,0.01182159617206996,0.009217275506263403
PLACE @ Prescott,1,2014-15,0.015730892037200545,0.00756997650751616
PLACE @ Prescott,1,2015-16,0.021921287306047685,-0.011244277011401259
PLACE @ Prescott,1,2016-17,0.031047744322405563,-0.019825653082637486
Reach Academy,1,2014-15,0.003018509974418493,-0.004579686325090163
Reach Academy,1,2015-16,0.005349393930807161,0.003400331140622638
Reach Academy,1,2016-17,0.004130940253337087,0.010498815929770297
Redwood Heights Elementary,1,2014-15,0.008743610872380347,0.0020137959991041662
Redwood Heights Elementary,1,2015-16,0.014725718033193447,0.010313050674607208
Redwood Heights Elementary,1,2016-17,0.011496955893792814,0.005123720880552161
RISE Community School,1,2014-15,2.673242248385638e-4,-0.004570663020418121
RISE Community School,1,2015-16,-0.008383028545609982,0.0016016047366476521
RISE Community School,1,2016-17,8.498956518153689e-4,0.012607797759765359
Riverside Elementary,0,2014-15,0.0057695091432673345,0.00483586076722051
Riverside Elementary,0,2015-16,0.001810533500175071,-3.107743714330369e-4
Riverside Elementary,0,2016-17,0.008134037738090537,0.008957242026725768
Sequoia Elementary,1,2014-15,3.20685722096023e-5,-0.0028116060002083554
Sequoia Elementary,1,2015-16,0.0033511144285688146,0.0028296902224633734
Sequoia Elementary,1,2016-17,-9.873714516325585e-4,-0.0024489539080082834
Shannon Elementary,0,2014-15,-0.006677770770844069,-0.002733683983188774
Shannon Elementary,0,2015-16,-0.0036296693505325495,-0.00652016432613832
Shannon Elementary,0,2016-17,0.0033362195460494154,-0.0013771740655738052
Sheldon Elementary,0,2014-15,0.005707566722757761,0.004145138050267016
Sheldon Elementary,0,2015-16,-0.001748376295588959,0.004284319761097416
Sheldon Elementary,0,2016-17,0.0012564782364274385,0.009103466396520384
Stege Elementary,0,2014-15,0.019248925768861058,-0.00759965613335388
Stege Elementary,0,2015-16,0.00888587067287698,-0.00840847476654795
Stege Elementary,0,2016-17,0.01968169392814216,-0.012481796399489958
Tara Hills Elementary,0,2014-15,0.007783119888407242,0.002447308240241357
Tara Hills Elementary,0,2015-16,0.019585525583049268,0.0171006801403513
Tara Hills Elementary,0,2016-17,0.019312152424810144,0.01472451246960061
Think College Now,1,2014-15,0.009599739264020982,0.00362273238621583
Think College Now,1,2015-16,0.018576975869159892,0.0054655301358051064
Think College Now,1,2016-17,0.014499377868305983,-0.0037262732486750896
Thornhill Elementary,1,2014-15,0.014341115116042951,0.0021445478561667834
Thornhill Elementary,1,2015-16,0.014381635126925873,0.003892128663378975
Thornhill Elementary,1,2016-17,0.011714672681020628,0.003626514992127728
Valley View Elementary,0,2014-15,0.0416094871945024,0.016230671440964503
Valley View Elementary,0,2015-16,0.03874738196175283,0.021951339185633925
Valley View Elementary,0,2016-17,0.052775043458759316,0.023499147306160387
Verde Elementary,0,2014-15,-0.006687866647391363,0.002628719466718152
Verde Elementary,0,2015-16,0.0026882282741049757,0.007192881727070836
Verde Elementary,0,2016-17,0.001844519159762914,0.0016576077782458482
Washington Elementary,0,2014-15,0.013915460535638781,0.011044718562427693
Washington Elementary,0,2015-16,0.0035429830445172297,0.015171104835706623
Washington Elementary,0,2016-17,0.022516490044340025,0.01852649720973935
Wilson Elementary,0,2014-15,0.0013118270896113962,0.0026790614844636983
Wilson Elementary,0,2015-16,0.0031877553804430248,0.007249033096164613
Wilson Elementary,0,2016-17,0.014269211179601692,0.009481157451180465
