school,dist.n,period,absences_all,absences_ill,student_days,absence_rate_all,absence_rate_ill
Martin Luther King Jr Elementary,1,1,4989,2948,55392,0.09006715771230503,0.05322068168688619
Martin Luther King Jr Elementary,1,2,3428,1632,34720,0.09873271889400921,0.047004608294930875
Montalvin Elementary,0,0,6008,1545,116613,0.051520842444667404,0.013248951660621035
Montalvin Elementary,0,1,3813,3561,64984,0.05867598178013049,0.05479810414871353
Montalvin Elementary,0,2,2652,2462,47277,0.05609492988133765,0.052076062355902446
Montclair Elementary,1,0,5224,3894,163474,0.03195615204864382,0.023820301699352803
Montclair Elementary,1,1,3801,2767,102467,0.03709486956776328,0.02700381586266798
Montclair Elementary,1,2,2641,1849,74004,0.0356872601481001,0.024985135938597913
Murphy Elementary,0,0,8351,4921,134668,0.062011762259779606,0.036541717408738524
Murphy Elementary,0,1,4504,2662,75003,0.06005093129608149,0.03549191365678706
Murphy Elementary,0,2,3305,1949,50128,0.06593121608681775,0.038880466007022024
New Highland Academy,1,0,5030,2405,98273,0.05118394676055478,0.024472642536607206
New Highland Academy,1,1,3442,1741,63852,0.05390590741088768,0.02726617803670989
New Highland Academy,1,2,2500,1621,41832,0.05976286096768024,0.03875023905144387
Nystrom Elementary,0,0,9894,2673,131093,0.07547313739101248,0.020390104734806586
Nystrom Elementary,0,1,7086,2252,78024,0.09081820978160565,0.028862913975187122
Nystrom Elementary,0,2,4967,2372,53616,0.09264025663980902,0.04424052521635333
Ohlone Elementary,0,0,6150,3600,124427,0.04942657140331279,0.028932627162914802
Ohlone Elementary,0,1,3161,1733,59598,0.053038692573576296,0.02907815698513373
Ohlone Elementary,0,2,2642,1580,47764,0.055313625324512186,0.033079306590737795
Olinda Elementary,0,0,4701,2782,95602,0.04917261145164327,0.029099809627413653
Olinda Elementary,0,1,2839,1629,50918,0.055756314073608544,0.03199261557798814
Olinda Elementary,0,2,1805,1325,37606,0.047997659947880654,0.0352337392969207
Parker Elementary,1,0,4576,2664,60193,0.07602212881896567,0.04425763793132092
Parker Elementary,1,1,3067,1621,43064,0.07121958015976221,0.03764164963774847
Parker Elementary,1,2,2172,872,28452,0.07633909742724589,0.03064810909602137
Peralta Elementary,1,0,3225,3089,105596,0.030540929580665933,0.029253002007651803
Peralta Elementary,1,1,2126,2064,55822,0.03808534269642793,0.03697466948514922
Peralta Elementary,1,2,1483,1396,39293,0.037742091466673455,0.03552795663349706
Peres Elementary,0,0,8299,3609,152490,0.054423240868253654,0.02366712571316152
Peres Elementary,0,1,5388,2702,81499,0.06611124062871937,0.03315378102798808
Peres Elementary,0,2,4068,2181,56050,0.07257805530776093,0.038911685994647636
Piedmont Avenue Elementary,1,0,6452,4149,123424,0.05227508426238009,0.03361582836401348
Piedmont Avenue Elementary,1,1,3867,2200,64042,0.060382249148995974,0.034352456200618345
Piedmont Avenue Elementary,1,2,2444,1678,37632,0.06494472789115646,0.04458971088435374
PLACE @ Prescott,1,0,4042,3832,63693,0.06346066286719106,0.060163597255585385
PLACE @ Prescott,1,1,3143,2396,38741,0.08112852017242714,0.06184662244134121
PLACE @ Prescott,1,2,1992,487,20743,0.09603239647109868,0.023477799739671214
Reach Academy,1,0,8793,4626,110449,0.07961140435857274,0.041883584278716864
Reach Academy,1,1,5733,2734,68788,0.08334302494621156,0.03974530441356051
Reach Academy,1,2,3969,2270,44571,0.08904893316281888,0.05092997689080344
Redwood Heights Elementary,1,0,3975,2507,116745,0.0340485673904664,0.021474153068653905
Redwood Heights Elementary,1,1,2841,1658,63642,0.0446403318563213,0.026051978253354702
Redwood Heights Elementary,1,2,1809,1115,43178,0.04189633609708648,0.025823335958126824
RISE Community School,1,0,7291,3523,106767,0.06828889076212687,0.032997087114932516
RISE Community School,1,1,3452,1591,52417,0.06585649693801629,0.030352748154224774
RISE Community School,1,2,1957,1378,28734,0.06810746850421104,0.04795712396464119
Riverside Elementary,0,0,5809,3305,119818,0.048481864160643644,0.027583501644160312
